,Title,By,URL,Location,Stipend,Duration,Skills
0,Python Development,Learntricks,https://www.internshala.com/internship/detail/python-development-internship-in-pune-at-learntricks1576999941,Pune,INR 2000 /Month,1 Month,"HTML (Learn HTML), CSS (Learn CSS), Python (Learn Python) and Machine Learning"
1,Python Development,KPEC Engineering,https://www.internshala.com/internship/detail/python-development-internship-in-mumbai-at-kpec-engineering1576860964,Mumbai,INR 7500 /Month,6 Months,"Python (Learn Python), Django, Internet of Things (IoT), REST API and Database Management System (DBMS)"
2,Convolution Neural Network,IHub,https://www.internshala.com/internship/detail/convolution-neural-network-part-time-job-internship-at-mangalore-in-ihub1576473838,Mangalore,,,Python (Learn Python)
3,Python Development,IDeepeners,https://www.internshala.com/internship/detail/python-development-internship-in-jaipur-at-ideepeners1576833775,Jaipur,INR 5000-7500 /Month,3 Months,Python (Learn Python)
4,Web Development,GrayQuest Education Finance Private Limited,https://www.internshala.com/internship/detail/web-development-internship-in-mumbai-at-grayquest-education-finance-private-limited1576843515,Mumbai,INR 6000 /Month,2 Months,"PHP (Learn PHP), Python (Learn Python), Bootstrap (Learn Bootstrap), CodeIgniter, Git SVN and Angular 2.0"
5,Full Stack Development(Training),GUVI,https://www.internshala.com/internship/detail/full-stack-developmenttraining-internship-in-chennai-coimbatore-at-guvi1576839754,Chennai,INR 15000 /Month,6 Months,
6,Python/Django Development,MiStay,https://www.internshala.com/internship/detail/python-django-development-internship-in-bangalore-at-mistay1576837436,Bangalore,INR 15000-25000 /Month,4 Months,"CSS (Learn CSS), JavaScript, Python (Learn Python), Django and ReactJS"
7,Computer Vision and Deep Learning,Drive Analytics,https://www.internshala.com/internship/detail/computer-vision-and-deep-learning-internship-in-chennai-at-drive-analytics1576830576,Chennai,INR 12500-15000 /Month,6 Months,"OpenCV, Python (Learn Python), Data Structures and Machine Learning"
8,Django Development,APTAGRIM,https://www.internshala.com/internship/detail/django-development-internship-in-hyderabad-at-aptagrim1576799169,Hyderabad,INR 10000 /Month,6 Months,"MySQL, JavaScript, Python (Learn Python), Django, AngularJS, REST API and Flask"
9,Research,Blackcoffer,https://www.internshala.com/internship/detail/research-work-from-home-job-internship-at-blackcoffer1576691629,Work From Home,INR 3000 /Month,2 Months,Python (Learn Python) and R Programming
10,Python Development,FreightBro,https://www.internshala.com/internship/detail/python-development-internship-in-chennai-nungambakkam-at-freightbro1576651242,Chennai,INR 15000 /Month,3 Months,"MySQL, Python (Learn Python) and Django"
11,Content Writing (Java & Python Programming),Perfectice Eduventure Limited,https://www.internshala.com/internship/detail/content-writing-java-python-programming-work-from-home-job-internship-at-perfectice-eduventure-limited1576550424,Work From Home,INR 7000 /Month,2 Months,Java (Learn Java) and Python (Learn Python)
12,Machine Learning (Computer Vision),Modaka Technologies Private Limited,https://www.internshala.com/internship/detail/machine-learning-computer-vision-internship-in-bangalore-at-modaka-technologies-private-limited1576647022,Bangalore,INR 3000-5000 /Month,4 Months,"JavaScript, OpenCV, Python (Learn Python) and Machine Learning"
13,Python Development,ZIGRAM,https://www.internshala.com/internship/detail/python-development-internship-in-gurgaon-at-zigram1576586265,Gurgaon,INR 10000 /Month,6 Months,"Cloud Computing, Python (Learn Python), SQL, Data Analytics and GitHub"
14,Robotics,JrIQplus,https://www.internshala.com/internship/detail/robotics-internship-in-jaipur-at-jriqplus1576477435,Jaipur,INR 5000 /Month,3 Months,"Python (Learn Python), Image Processing and Embedded Systems"
15,Web Development,Sparks To Ideas,https://www.internshala.com/internship/detail/web-development-part-time-job-internship-at-ahmedabad-in-sparks-to-ideas1576562212,Ahmedabad,INR 3500 /Month,6 Months,Python (Learn Python) and Django
16,Subject Matter Expert (Software Development),Project Assignment Solutions,https://www.internshala.com/internship/detail/subject-matter-expert-software-development-work-from-home-job-internship-at-project-assignment-solutions1576429627,Work From Home,INR 8000-10000 /Month,2 Months,"Java (Learn Java), Python (Learn Python) and C++ Programming (Learn C++ Programming)"
17,Web Development,Techvolt Software Private Limited,https://www.internshala.com/internship/detail/web-development-part-time-job-internship-at-multiple-locations-in-techvolt-software-private-limited1576560576,Coimbatore,INR 3000 /Month,2 Months,C Programming (Learn C Programming) and C++ Programming (Learn C++ Programming)
18,Python Django Development,HEU Technologies Private Limited,https://www.internshala.com/internship/detail/python-django-development-work-from-home-job-internship-at-heu-technologies-private-limited1576480063,Work From Home,INR 2000 /Month,2 Months,"HTML (Learn HTML), CSS (Learn CSS), Python (Learn Python) and Django"
19,Software Development (Embedded Linux),Axonet Emsys Private Limited,https://www.internshala.com/internship/detail/software-development-embedded-linux-internship-in-pune-at-axonet-emsys-private-limited1576452337,Pune,INR 2000 /Month +  Incentives,6 Months,"Python (Learn Python), Linux, C Programming (Learn C Programming) and C++ Programming (Learn C++ Programming)"
20,Full Stack Development (Python & Django),Pytholabs,https://www.internshala.com/internship/detail/full-stack-development-python-django-part-time-job-internship-at-jaipur-in-pytholabs1576254966,Jaipur,INR 10000-15000 /Month,3 Months,"HTML (Learn HTML), CSS (Learn CSS), JavaScript, Cloud Computing, Python (Learn Python), Django, UI & UX Design, Database Management System (DBMS) and Flask"
21,C#/Python Analysis,Tradepath Capital LLC,https://www.internshala.com/internship/detail/c-python-analysis-internship-in-mumbai-at-tradepath-capital-llc1576233214,Mumbai,INR 3000-5000 /Month,6 Months,"C#, Python (Learn Python) and Data Analytics"
22,Deep Learning (Web & Mobile),Sura Systems Private Limited,https://www.internshala.com/internship/detail/deep-learning-web-mobile-internship-in-chennai-at-sura-systems-private-limited1576226798,Chennai,INR 7000 /Month,6 Months,"Java (Learn Java), OpenCV, Python (Learn Python), Objective C, Swift, iOS and Android (Learn Android)"
23,NLP ML Intern / Full-time Employee Fresher,Digital Impacter,https://www.internshala.com/internship/detail/nlp-ml-intern-full-time-employee-fresher-internship-in-chennai-at-digital-impacter1576164361,Chennai,INR 2500 /Month +  Incentives,2 Months,"Python (Learn Python), Machine Learning, Natural Language Processing (NLP) and ReactJS"
24,Python Development,Green Packard Technology & Solutions,https://www.internshala.com/internship/detail/python-development-internship-in-chandigarh-mohali-at-green-packard-technology-solutions1576208971,Chandigarh,INR 5000 /Month,6 Months,
25,Data Science,FINGERTIPS,https://www.internshala.com/internship/detail/data-science-internship-in-multiple-locations-at-fingertips1576079086,Ahmedabad,INR 7000-12000 /Month,6 Months,Python (Learn Python) and Image Processing
26,Python Development (Django),Xonier Technologies Private Limited,https://www.internshala.com/internship/detail/python-development-django-internship-in-noida-at-xonier-technologies-private-limited1576048979,Noida,INR 10000 /Month,6 Months,"JavaScript, Python (Learn Python), Django, AngularJS, Apache, REST API, ReactJS and Database Testing"
27,Python Backend Programming,Primenumbers Technologies,https://www.internshala.com/internship/detail/python-backend-programming-internship-in-bangalore-at-primenumbers-technologies1576129945,Bangalore,INR 15000 /Month,6 Months,Python (Learn Python) and Shell Scripting
28,Deep Learning,CogniAble,https://www.internshala.com/internship/detail/deep-learning-internship-in-gurgaon-at-cogniable1576126496,Gurgaon,INR 15000 /Month,6 Months,
29,Django Development (NLP),Famepilot Internet Private Limited,https://www.internshala.com/internship/detail/django-development-nlp-internship-in-gurgaon-at-famepilot-internet-private-limited1576108524,Gurgaon,INR 12000 /Month,6 Months,"Python (Learn Python), MongoDB, Django, PostgreSQL and Amazon Web Services (AWS)"
30,Python Development,ERA Scan,https://www.internshala.com/internship/detail/python-development-internship-in-delhi-at-era-scan1576081285,Delhi,INR 10000-15000 /Month,6 Months,Python (Learn Python)
31,Python Development,Nitroware Technologies,https://www.internshala.com/internship/detail/python-development-internship-in-coimbatore-at-nitroware-technologies1576062972,Coimbatore,INR 2000 /Month,3 Months,
32,REST API Development,Proworktree Professional Services Private Limited,https://www.internshala.com/internship/detail/rest-api-development-work-from-home-job-internship-at-proworktree-professional-services-private-limited1575968768,Work From Home,INR 5000-7000 /Month,3 Months,"Python (Learn Python), Django, JSON and REST API"
